ID,Value,Source
bash1264-TE031,1,Poppe (1964:28)
bash1264-TE037,1,Yuldashev (1981:44)
bash1264-TE038,1,Poppe (1964:28)
bash1264-TE039,0,Poppe (1964:6-7)
bash1264-TE050,0,Poppe (1964:80)
bash1264-TE052,1,Yuldashev (1981:134-135)
bash1264-TE053,0,Yuldashev (1981:141); Poppe (1964:36)
bash1264-TE054,1,Poppe (1964:95-96)
bash1264-TE059,0,Yuldashev (1981:245, 254)
bash1264-TE066,1,Poppe (1964:46)
bash1264-TE078,?,Poppe (1964:1-100)
bash1264-TS001,1,Poppe (1964:80)
bash1264-TS002,0,Poppe (1964:80)
bash1264-TS003,1,Yuldashev (1981:155)
bash1264-TS004,0,Yuldashev (1981:155)
bash1264-TS005,1,Dmitriev (1948:54-58)
bash1264-TS006,1,Dmitriev (1948:54-58)
bash1264-TS007,1,Yuldashev (1997:214); Yuldashev (1981:169)
bash1264-TS008,0,Yuldashev (1997:214); Yuldashev (1981:169)
bash1264-TS009,?,Poppe (1964:1-100)
bash1264-TS010,?,Poppe (1964:1-100)
bash1264-TS079,?,Poppe (1964:1-100)
bash1264-TS080,?,Poppe (1964:1-100)
bash1264-TS086,1,Poppe (1964:94)
bash1264-TS087,0,Poppe (1964:94)
bash1264-TS088,0,Yuldashev (1997: 208); Yuldashev (1981:44)
Beryozovka berj1234-GB020,0,Juwon (2011:1-115)
Beryozovka berj1234-GB021,0,Juwon (2011:1-115)
Beryozovka berj1234-GB022,0,Juwon (2011:1-115)
Beryozovka berj1234-GB023,0,Juwon (2011:1-115)
Beryozovka berj1234-GB026,1,Juwon (2011:114)
Beryozovka berj1234-GB027,?,Juwon (2011:58, 84)
Beryozovka berj1234-GB028,1,Juwon (2011:60-61)
Beryozovka berj1234-GB030,0,Juwon (2011:60-61)
Beryozovka berj1234-GB031,0,Juwon (2011:60-61)
Beryozovka berj1234-GB035,0,Juwon (2011:66)
Beryozovka berj1234-GB036,0,Juwon (2011:66)
Beryozovka berj1234-GB037,0,Juwon (2011:66)
Beryozovka berj1234-GB038,0,Juwon (2011:1-115)
Beryozovka berj1234-GB039,1,Juwon (2011:52)
Beryozovka berj1234-GB041,0,Juwon (2011:52)
Beryozovka berj1234-GB042,0,Juwon (2011:52)
Beryozovka berj1234-GB043,0,Juwon (2011:52)
Beryozovka berj1234-GB044,1,Juwon (2011:52)
Beryozovka berj1234-GB046,?,Juwon (2011:1-115)
Beryozovka berj1234-GB047,?,Juwon (2011:1-115)
Beryozovka berj1234-GB048,?,Juwon (2011:1-115)
Beryozovka berj1234-GB049,?,Juwon (2011:1-115)
Beryozovka berj1234-GB051,0,Juwon (2011:1-115)
Beryozovka berj1234-GB052,0,Juwon (2011:1-115)
Beryozovka berj1234-GB053,0,Juwon (2011:1-115)
Beryozovka berj1234-GB054,0,Juwon (2011:1-115)
Beryozovka berj1234-GB057,0,Juwon (2011:1-115)
Beryozovka berj1234-GB058,0,Juwon (2011:1-115)
Beryozovka berj1234-GB059,1,Juwon (2011:65)
Beryozovka berj1234-GB068,0,Juwon (2011:68-69)
Beryozovka berj1234-GB069,0,Juwon (2011:68-69)
Beryozovka berj1234-GB070,1,Juwon (2011:53)
Beryozovka berj1234-GB071,1,Juwon (2011:60-61)
Beryozovka berj1234-GB072,1,Juwon (2011:53-59)
Beryozovka berj1234-GB073,1,Juwon (2011:60-61)
Beryozovka berj1234-GB074,0,Juwon (2011:109-110)
Beryozovka berj1234-GB075,1,Juwon (2011:109-110)
Beryozovka berj1234-GB079,0,Juwon (2011:1-115)
Beryozovka berj1234-GB080,1,Juwon (2011:1-115)
Beryozovka berj1234-GB081,0,Juwon (2011:1-115)
Beryozovka berj1234-GB082,1,Juwon (2011:86-87)
Beryozovka berj1234-GB083,1,Juwon (2011:86-88)
Beryozovka berj1234-GB084,1,Juwon (2011:86-87)
Beryozovka berj1234-GB086,1,Juwon (2011:78)
Beryozovka berj1234-GB089,1,Juwon (2011:53, 81-82)
Beryozovka berj1234-GB090,0,Juwon (2011:81-82)
Beryozovka berj1234-GB091,1,Juwon (2011:54, 76, 81-82)
Beryozovka berj1234-GB092,0,Juwon (2011:81-82)
Beryozovka berj1234-GB093,0,Juwon (2011:81-82)
Beryozovka berj1234-GB094,0,Juwon (2011:81-82)
Beryozovka berj1234-GB095,0,Juwon (2011:1-115)
Beryozovka berj1234-GB096,0,Juwon (2011:1-115)
Beryozovka berj1234-GB098,0,Juwon (2011:1-115)
Beryozovka berj1234-GB099,0,Juwon (2011:1-115)
Beryozovka berj1234-GB103,0,Juwon (2011:1-115)
Beryozovka berj1234-GB104,0,Juwon (2011:1-115)
Beryozovka berj1234-GB105,0,Juwon (2011:53-54, 84)
Beryozovka berj1234-GB107,1,Juwon (2011:99)
Beryozovka berj1234-GB108,1,Pakendorf (in preparation)
Beryozovka berj1234-GB109,0,Juwon (2011:1-115)
Beryozovka berj1234-GB110,0,Juwon (2011:1-115)
